feature,feature importance
Bot Center_0,0.035252050717384076
Bot Center_1,0.038390097040091456
Bot Center_2,0.027060452056168378
Bot Left Corner_0,0.02560248682968829
Bot Left Corner_1,0.03562144305876669
Bot Left Corner_2,0.051465118269574305
Bot Right Corner_0,0.07729126234479318
Bot Right Corner_1,0.03793303604422058
Bot Right Corner_2,0.019608252640560153
More in Center_1,0.0219127469259683
More in Center_2,0.1875688161636338
More in Center_tie,0.044975219254801115
More in Leftmost_1,0.10542589140901183
More in Leftmost_2,0.08282539615188532
More in Leftmost_tie,0.009016109181124525
More in Rightmost_1,0.12292143429242662
More in Rightmost_2,0.07053972834709188
More in Rightmost_tie,0.006590459272809499
